Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,881.5,881.5,868.9000244140625,878.7999877929688,878.7999877929688,46
2009-01-05,882.0,883.5,847.0,857.2000122070312,857.2000122070312,35
2009-01-06,855.0999755859375,867.5999755859375,840.0,865.4000244140625,865.4000244140625,113
2009-01-07,862.0,867.0,837.7000122070312,841.0999755859375,841.0999755859375,101
2009-01-08,837.9000244140625,861.0,837.9000244140625,853.9000244140625,853.9000244140625,255
2009-01-09,855.9000244140625,862.0999755859375,855.9000244140625,854.2999877929688,854.2999877929688,123
2009-01-12,844.4000244140625,844.4000244140625,815.4000244140625,820.2999877929688,820.2999877929688,72
2009-01-13,825.5999755859375,825.5999755859375,815.7000122070312,820.0999755859375,820.0999755859375,20
2009-01-14,825.9000244140625,827.0999755859375,814.0,808.2000122070312,808.2000122070312,5
2009-01-15,805.5999755859375,808.7999877929688,805.5999755859375,806.7000122070312,806.7000122070312,16
2009-01-16,834.0,842.5,834.0,839.2999877929688,839.2999877929688,64
2009-01-20,838.7000122070312,862.7000122070312,824.0,854.5999755859375,854.5999755859375,20
2009-01-21,850.5,852.5999755859375,843.7999877929688,849.5999755859375,849.5999755859375,37
2009-01-22,856.7999877929688,860.9000244140625,846.2000122070312,858.2000122070312,858.2000122070312,57
2009-01-23,875.0,899.0999755859375,875.0,895.2999877929688,895.2999877929688,52
2009-01-26,907.2999877929688,911.5999755859375,901.2000122070312,908.5,908.5,18
2009-01-27,902.7999877929688,903.0,895.2000122070312,899.2000122070312,899.2000122070312,48
2009-01-28,886.0999755859375,894.5999755859375,883.7000122070312,888.0999755859375,888.0999755859375,137271
2009-01-29,888.0999755859375,909.7000122070312,874.2000122070312,905.0999755859375,905.0999755859375,66607
2009-01-30,909.7999877929688,930.2999877929688,902.0,927.2999877929688,927.2999877929688,10460
2009-02-02,924.2999877929688,928.7999877929688,902.2000122070312,906.7000122070312,906.7000122070312,3220
2009-02-03,903.2000122070312,913.2999877929688,889.7999877929688,892.0,892.0,1451
2009-02-04,900.0999755859375,909.2000122070312,897.0,901.5999755859375,901.5999755859375,465
2009-02-05,906.2999877929688,924.4000244140625,904.4000244140625,913.5999755859375,913.5999755859375,770
2009-02-06,914.5,918.5,909.5,913.9000244140625,913.9000244140625,334
2009-02-09,910.0,911.0,891.7999877929688,892.4000244140625,892.4000244140625,984
2009-02-10,898.0,917.5,892.0,913.7000122070312,913.7000122070312,252
2009-02-11,913.7000122070312,947.2000122070312,912.2000122070312,943.7999877929688,943.7999877929688,892
2009-02-12,938.7999877929688,952.7999877929688,936.4000244140625,948.5,948.5,335
2009-02-13,947.2999877929688,947.2999877929688,934.2000122070312,941.5,941.5,137
2009-02-17,939.5,973.7999877929688,937.2999877929688,967.0,967.0,1639
2009-02-18,968.4000244140625,988.0,962.2000122070312,977.7000122070312,977.7000122070312,422
2009-02-19,982.7000122070312,986.2000122070312,972.0,976.0999755859375,976.0999755859375,202
2009-02-20,974.0,1004.9000244140625,971.5999755859375,1001.7999877929688,1001.7999877929688,219
2009-02-23,995.5999755859375,996.5,980.0,994.5999755859375,994.5999755859375,215
2009-02-24,988.0,991.5999755859375,963.2000122070312,969.0999755859375,969.0999755859375,243
2009-02-25,963.2999877929688,977.5,953.0999755859375,965.7000122070312,965.7000122070312,1019
2009-02-26,953.0,956.0,933.0,941.7999877929688,941.7999877929688,687
2009-02-27,943.4000244140625,963.2000122070312,928.0999755859375,941.5,941.5,730
2009-03-02,945.0,963.2000122070312,924.5,939.0,939.0,474
2009-03-03,927.0,931.7999877929688,906.4000244140625,912.9000244140625,912.9000244140625,362
2009-03-04,914.9000244140625,923.2000122070312,900.0999755859375,906.0,906.0,155
2009-03-05,912.0,932.5999755859375,908.9000244140625,927.0,927.0,141
2009-03-06,933.5,944.5,931.7999877929688,942.0999755859375,942.0999755859375,308
2009-03-09,940.5,940.5,914.5,917.7000122070312,917.7000122070312,838
2009-03-10,921.5999755859375,921.7999877929688,892.0999755859375,895.5999755859375,895.5999755859375,120
2009-03-11,894.7000122070312,912.4000244140625,894.0999755859375,910.4000244140625,910.4000244140625,221
2009-03-12,909.2000122070312,927.5,908.0,923.7000122070312,923.7000122070312,118
2009-03-13,924.4000244140625,937.0,924.4000244140625,929.7999877929688,929.7999877929688,69
2009-03-16,926.4000244140625,929.5999755859375,916.7000122070312,921.5999755859375,921.5999755859375,139
2009-03-17,923.2000122070312,924.4000244140625,912.4000244140625,916.4000244140625,916.4000244140625,48
2009-03-18,915.4000244140625,944.0,885.0,888.7000122070312,888.7000122070312,120
2009-03-19,938.0,960.7999877929688,933.7999877929688,958.2999877929688,958.2999877929688,360
2009-03-20,960.5999755859375,960.5999755859375,954.0,955.7999877929688,955.7999877929688,23
2009-03-23,950.7000122070312,952.5999755859375,937.9000244140625,952.0999755859375,952.0999755859375,30
2009-03-24,923.2999877929688,923.2999877929688,923.2999877929688,923.2999877929688,923.2999877929688,1494
2009-03-25,921.2000122070312,936.5,920.7999877929688,935.4000244140625,935.4000244140625,97
2009-03-26,939.5999755859375,943.0,937.5999755859375,939.5999755859375,939.5999755859375,66
2009-03-27,923.0,923.0,923.0,923.0,923.0,106869
2009-03-30,924.5999755859375,932.5,908.5999755859375,915.5,915.5,58837
2009-03-31,918.0,924.5,911.5999755859375,922.5999755859375,922.5999755859375,7403
2009-04-01,918.5999755859375,932.5,916.9000244140625,926.0999755859375,926.0999755859375,3659
2009-04-02,926.9000244140625,930.2999877929688,894.9000244140625,907.4000244140625,907.4000244140625,3389
2009-04-03,904.5999755859375,910.2999877929688,891.2999877929688,895.5999755859375,895.5999755859375,1616
