,Open,High,Low,Close,Adj Close,Volume,DFF
Open,280656.848689319,282155.4520920222,279018.1912874277,280569.41274632857,280569.41274632857,634128.6546089493,-274.45490133999107
High,282155.4520920222,283724.13064300787,280523.1906554183,282126.0400092884,282126.0400092884,624222.3056117955,-277.1870617744801
Low,279018.1912874277,280523.1906554183,277473.50074590696,279008.9035937074,279008.9035937074,640153.054916396,-270.930839730894
Close,280569.41274632857,282126.0400092884,279008.9035937074,280609.04664952995,280609.04664952995,630291.9743209848,-274.14859800746245
Adj Close,280569.41274632857,282126.0400092884,279008.9035937074,280609.04664952995,280609.04664952995,630291.9743209848,-274.14859800746245
Volume,634128.6546089493,624222.3056117955,640153.054916396,630291.9743209848,630291.9743209848,601452184.8733082,-1594.5030134437188
DFF,-274.45490133999107,-277.1870617744801,-270.930839730894,-274.14859800746245,-274.14859800746245,-1594.5030134437188,3.1558662009516225
