Date,Open,High,Low,Close,Adj Close,Volume,DFF
2008-01-02,848.7000122070312,857.7999877929688,846.4000244140625,857.0,857.0,130.0,4.11
2008-01-03,863.0,865.5,856.2999877929688,866.4000244140625,866.4000244140625,181.0,4.25
2008-01-04,861.4000244140625,865.5,860.2000122070312,863.0999755859375,863.0999755859375,28.0,4.18
2008-01-07,860.9000244140625,860.9000244140625,857.4000244140625,859.5999755859375,859.5999755859375,4.0,4.27
2008-01-08,861.5999755859375,879.4000244140625,861.5999755859375,878.0,878.0,21.0,4.27
2008-01-09,885.0,885.0,876.0,879.5,879.5,48.0,4.26
2008-01-10,882.0,891.4000244140625,881.2000122070312,891.7000122070312,891.7000122070312,6.0,4.26
2008-01-11,889.7999877929688,899.7000122070312,889.7000122070312,896.0999755859375,896.0999755859375,183.0,4.23
2008-01-14,907.2999877929688,907.2999877929688,905.0,901.5999755859376,901.5999755859376,89.0,4.24
2008-01-15,887.5999755859375,887.5999755859375,887.5999755859375,901.0,901.0,101.0,4.24
2008-01-16,880.5,885.7999877929688,880.5,880.5999755859375,880.5999755859375,102.0,4.22
2008-01-17,888.2000122070312,888.2000122070312,876.7999877929688,879.5,879.5,11.0,4.23
2008-01-18,871.7999877929688,886.7999877929688,871.0,880.7999877929688,880.7999877929688,30.0,4.17
2008-01-22,878.7000122070312,891.0,863.2000122070312,889.5999755859375,889.5999755859375,30.0,3.68
2008-01-23,885.0,895.7000122070312,880.0,882.5,882.5,49.0,3.43
2008-01-24,890.9000244140625,906.5999755859376,890.9000244140625,905.5,905.5,6.0,3.47
2008-01-25,910.5,910.5,910.5,910.5,910.5,6.0,3.6
2008-01-28,916.5999755859376,922.0,914.5,927.0999755859376,927.0999755859376,25.0,3.5
2008-01-29,925.0,925.0,925.0,925.0999755859376,925.0999755859376,157692.0,3.47
2008-01-30,924.4000244140624,936.2999877929688,915.2999877929688,920.5999755859376,920.5999755859376,68820.0,3.26
2008-01-31,928.2000122070312,928.5999755859376,918.2999877929688,922.7000122070312,922.7000122070312,4289.0,3.22
2008-02-01,924.7999877929688,936.2000122070312,903.7000122070312,908.7000122070312,908.7000122070312,2152.0,3.12
2008-02-04,903.7000122070312,912.0,892.5,904.9000244140624,904.9000244140624,1493.0,2.82
2008-02-05,905.0999755859376,905.2000122070312,884.7000122070312,885.9000244140625,885.9000244140625,476.0,2.71
2008-02-06,887.9000244140625,910.0,887.5,900.7000122070312,900.7000122070312,430.0,2.94
2008-02-07,900.5999755859375,909.2999877929688,896.4000244140625,906.0999755859376,906.0999755859376,463.0,3.03
2008-02-08,915.2999877929688,920.0,911.5,918.4000244140624,918.4000244140624,339.0,3.05
2008-02-11,920.7000122070312,926.9000244140624,917.5,922.9000244140624,922.9000244140624,181.0,2.88
2008-02-12,921.0,924.7999877929688,904.2000122070312,907.4000244140624,907.4000244140624,278.0,2.91
2008-02-13,903.0,909.4000244140624,897.2000122070312,906.5,906.5,89.0,3.02
2008-02-14,904.0,911.0,904.0,907.4000244140624,907.4000244140624,128.0,3.03
2008-02-15,910.0999755859376,913.5999755859376,898.7000122070312,902.7999877929688,902.7999877929688,128.0,2.97
2008-02-19,904.2999877929688,928.7999877929688,900.5,926.5999755859376,926.5999755859376,174.0,2.94
2008-02-20,926.5,945.0,919.5999755859376,934.5999755859376,934.5999755859376,73.0,3.0
2008-02-21,940.0999755859376,953.4000244140624,940.0999755859376,946.0999755859376,946.0999755859376,138.0,3.01
2008-02-22,944.9000244140624,948.5,942.5,944.7000122070312,944.7000122070312,79.0,2.97
2008-02-25,946.5,948.9000244140624,933.0,937.5999755859376,937.5999755859376,312.0,3.0
2008-02-26,931.2999877929688,949.0,931.2999877929688,946.0999755859376,946.0999755859376,224.0,2.85
2008-02-27,960.0,960.0,955.0,958.2000122070312,958.2000122070312,215.0,2.93
2008-02-28,957.4000244140624,972.0999755859376,954.4000244140624,964.5,964.5,238.0,3.06
2008-02-29,971.4000244140624,973.0999755859376,963.5,972.0999755859376,972.0999755859376,39.0,3.01
2008-03-03,984.2000122070312,986.9000244140624,979.7000122070312,981.5,981.5,26.0,3.1
2008-03-04,982.4000244140624,984.5,963.7999877929688,963.9000244140624,963.9000244140624,41.0,2.9
2008-03-05,965.0,992.7000122070312,963.9000244140624,986.2000122070312,986.2000122070312,45.0,2.93
2008-03-06,984.2999877929688,987.7000122070312,973.4000244140624,975.0,975.0,46.0,2.99
2008-03-07,982.7999877929688,984.9000244140624,972.4000244140624,972.2000122070312,972.2000122070312,96.0,2.96
2008-03-10,975.5,976.7999877929688,964.7000122070312,969.9000244140624,969.9000244140624,92.0,2.99
2008-03-11,975.7000122070312,976.7000122070312,971.5,974.2000122070312,974.2000122070312,12.0,2.95
2008-03-12,973.5999755859376,979.2999877929688,973.5,978.7999877929688,978.7999877929688,6.0,2.97
2008-03-13,983.7000122070312,998.5,983.7000122070312,992.2999877929688,992.2999877929688,10.0,2.98
2008-03-14,993.9000244140624,1004.5999755859376,993.0,998.2000122070312,998.2000122070312,27.0,2.99
2008-03-17,1005.0,1014.5999755859376,996.4000244140624,1001.4000244140624,1001.4000244140624,82.0,2.69
2008-03-18,1003.5999755859376,1010.0,978.2000122070312,1003.2000122070312,1003.2000122070312,30.0,2.16
2008-03-19,979.2999877929688,979.2999877929688,938.4000244140624,944.7000122070312,944.7000122070312,84.0,2.08
2008-03-20,939.9000244140624,943.2000122070312,917.7000122070312,919.5999755859376,919.5999755859376,34.0,2.22
2008-03-24,915.5,922.0,915.2000122070312,918.2999877929688,918.2999877929688,71.0,2.08
2008-03-25,931.5,933.9000244140624,927.2000122070312,934.5999755859376,934.5999755859376,102.0,2.42
2008-03-26,949.5999755859376,949.5999755859376,949.5999755859376,949.0,949.0,1.0,2.3
2008-03-27,947.4000244140624,951.7000122070312,945.7000122070312,948.7999877929688,948.7999877929688,145634.0,2.27
2008-03-28,947.5,951.0999755859376,921.7999877929688,930.5999755859376,930.5999755859376,64013.0,2.09
2008-03-31,931.0,940.0999755859376,912.0,916.2000122070312,916.2000122070312,5980.0,2.51
2008-04-01,915.0,919.7999877929688,871.7999877929688,882.9000244140625,882.9000244140625,3204.0,2.38
2008-04-02,884.0,906.5,881.2000122070312,895.2000122070312,895.2000122070312,2367.0,2.18
2008-04-03,901.2000122070312,907.5,889.5999755859375,905.0,905.0,984.0,2.19
2008-04-04,904.7000122070312,914.9000244140624,898.7999877929688,909.0,909.0,279.0,2.26
2008-04-07,915.2999877929688,927.2000122070312,912.2999877929688,922.7000122070312,922.7000122070312,2086.0,2.24
2008-04-08,924.2000122070312,925.2999877929688,909.2999877929688,914.0,914.0,405.0,2.23
2008-04-09,916.0,935.5,904.0999755859376,933.5999755859376,933.5999755859376,390.0,2.2
2008-04-10,931.2999877929688,939.2000122070312,922.4000244140624,928.2999877929688,928.2999877929688,409.0,2.3
2008-04-11,919.5999755859376,931.2000122070312,919.5999755859376,923.5999755859376,923.5999755859376,141.0,2.37
2008-04-14,917.0,929.4000244140624,915.5999755859376,925.4000244140624,925.4000244140624,153.0,2.32
2008-04-15,924.2999877929688,936.0,924.2999877929688,928.7000122070312,928.7000122070312,168.0,2.32
2008-04-16,927.2000122070312,948.7000122070312,927.2000122070312,945.0999755859376,945.0999755859376,161.0,2.35
2008-04-17,927.2000122070312,947.9000244140624,938.7000122070312,939.7999877929688,939.7999877929688,209.0,2.37
2008-04-18,936.0,936.0,907.2000122070312,912.2000122070312,912.2000122070312,145.0,2.32
2008-04-21,922.5,924.5999755859376,914.0999755859376,914.7000122070312,914.7000122070312,449.0,2.28
2008-04-22,920.5999755859376,922.7999877929688,916.2000122070312,922.2999877929688,922.2999877929688,625.0,1.99
2008-04-23,916.7999877929688,921.5,898.7999877929688,906.2000122070312,906.2000122070312,111.0,2.18
2008-04-24,902.4000244140624,904.7999877929688,885.0999755859375,886.7999877929688,886.7999877929688,80.0,2.26
2008-04-25,878.2000122070312,893.5999755859375,878.0999755859375,887.2000122070312,887.2000122070312,77.0,2.28
2008-04-28,887.0,893.7999877929688,887.0,892.9000244140625,892.9000244140625,339.0,2.29
2008-04-29,890.5999755859375,890.5999755859375,869.5999755859375,874.2000122070312,874.2000122070312,136.0,2.21
2008-04-30,868.7000122070312,875.2000122070312,863.0,862.7999877929688,862.7999877929688,88.0,2.37
2008-05-01,855.0,873.5,849.5999755859375,848.9000244140625,848.9000244140625,28.0,2.16
2008-05-02,853.2999877929688,857.7000122070312,853.2999877929688,856.0999755859375,856.0999755859375,6.0,1.88
2008-05-05,861.2000122070312,872.7999877929688,861.2000122070312,872.2999877929688,872.2999877929688,35.0,1.85
2008-05-06,872.2999877929688,881.4000244140625,872.2999877929688,876.0,876.0,47.0,1.91
2008-05-07,868.0,869.4000244140625,864.7999877929688,869.5999755859375,869.5999755859375,43.0,2.01
2008-05-08,871.0,883.2999877929688,867.0999755859375,880.5999755859375,880.5999755859375,71.0,1.99
2008-05-09,883.9000244140625,884.7000122070312,883.9000244140625,884.5,884.5,25.0,1.97
2008-05-12,879.2000122070312,886.5,879.2000122070312,883.7000122070312,883.7000122070312,56.0,1.88
2008-05-13,862.9000244140625,870.4000244140625,862.9000244140625,868.5,868.5,17.0,1.93
2008-05-14,862.7999877929688,868.5999755859375,862.7999877929688,865.4000244140625,865.4000244140625,41.0,2.03
2008-05-15,865.7999877929688,886.2999877929688,865.7999877929688,879.0,879.0,121.0,2.03
2008-05-16,892.0,904.2000122070312,892.0,899.0,899.0,85.0,1.91
2008-05-19,905.0,905.0,905.0,905.0,905.0,2.0,1.95
2008-05-20,919.5,919.5,919.5,919.5,919.5,2.0,1.99
2008-05-21,923.5,924.0,923.2000122070312,928.0,928.0,3.0,2.03
2008-05-22,917.5999755859376,917.5999755859376,917.5999755859376,917.9000244140624,917.9000244140624,1.0,2.05
2008-05-23,916.9000244140624,925.5999755859376,916.0,925.5999755859376,925.5999755859376,1.0,1.99
2008-05-27,912.0,912.0,906.5,907.7000122070312,907.7000122070312,25.0,2.23
2008-05-28,900.5,900.5,900.5,900.5,900.5,149889.0,2.08
2008-05-29,903.0,903.2000122070312,872.0999755859375,877.2000122070312,877.2000122070312,64624.0,2.01
2008-05-30,880.2000122070312,888.5,868.5999755859375,887.2999877929688,887.2999877929688,6671.0,1.98
2008-06-02,887.2999877929688,898.0,881.7999877929688,892.9000244140625,892.9000244140625,2132.0,2.06
2008-06-03,889.7999877929688,896.0999755859375,874.5999755859375,881.5999755859375,881.5999755859375,2079.0,1.95
2008-06-04,879.5,886.0999755859375,876.0,879.9000244140625,879.9000244140625,612.0,1.98
2008-06-05,876.0999755859375,878.7999877929688,865.4000244140625,871.7999877929688,871.7999877929688,340.0,1.98
2008-06-06,878.5,901.0,877.7000122070312,895.4000244140625,895.4000244140625,230.0,2.01
2008-06-09,900.7000122070312,908.9000244140624,890.5,894.7000122070312,894.7000122070312,1930.0,2.02
2008-06-10,886.5999755859375,886.5999755859375,866.0,867.9000244140625,867.9000244140625,457.0,1.96
2008-06-11,869.5,882.0,869.5,879.7000122070312,879.7000122070312,146.0,1.95
2008-06-12,873.5999755859375,873.5999755859375,858.2000122070312,869.2000122070312,869.2000122070312,135.0,2.01
2008-06-13,870.2999877929688,870.2999877929688,860.5,870.2999877929688,870.2999877929688,361.0,2.02
2008-06-16,872.5,893.0,871.2999877929688,883.5999755859375,883.5999755859375,70.0,2.06
2008-06-17,883.4000244140625,887.0,876.2999877929688,884.2999877929688,884.2999877929688,62.0,1.87
2008-06-18,888.0,891.9000244140625,885.0999755859375,890.9000244140625,890.9000244140625,135.0,1.84
2008-06-19,888.5999755859375,906.5,888.5999755859375,901.7000122070312,901.7000122070312,44.0,1.94
2008-06-20,903.7999877929688,907.2999877929688,901.0,901.2999877929688,901.2999877929688,21.0,1.99
2008-06-23,903.4000244140624,903.4000244140624,879.2000122070312,884.7999877929688,884.7999877929688,54.0,1.98
2008-06-24,889.5999755859375,891.2000122070312,885.5,889.2000122070312,889.2000122070312,64.0,1.93
2008-06-25,883.5999755859375,883.7999877929688,876.4000244140625,880.0,880.0,97.0,1.97
2008-06-26,909.5999755859376,912.5999755859376,909.5999755859376,913.0999755859376,913.0999755859376,182.0,2.05
2008-06-27,913.0999755859376,927.5999755859376,910.7000122070312,929.2999877929688,929.2999877929688,167.0,1.99
2008-06-30,927.7000122070312,933.7000122070312,922.2999877929688,926.2000122070312,926.2000122070312,144.0,2.47
2008-07-01,943.5999755859376,945.7999877929688,938.0,942.5,942.5,32.0,2.11
2008-07-02,938.7999877929688,944.7999877929688,933.0999755859376,944.7999877929688,944.7999877929688,58.0,1.95
2008-07-03,944.7999877929688,944.7999877929688,928.0,931.9000244140624,931.9000244140624,58.0,1.92
2008-07-07,931.4000244140624,931.4000244140624,915.4000244140624,927.2999877929688,927.2999877929688,141.0,1.99
2008-07-08,922.7999877929688,922.7999877929688,919.2000122070312,921.9000244140624,921.9000244140624,37.0,1.97
2008-07-09,919.7999877929688,928.2000122070312,919.7999877929688,927.2999877929688,927.2999877929688,31.0,1.99
2008-07-10,928.0999755859376,942.0999755859376,928.0999755859376,940.9000244140624,940.9000244140624,18.0,2.01
2008-07-11,948.2000122070312,965.7000122070312,948.2000122070312,959.5,959.5,58.0,1.97
2008-07-14,964.7000122070312,974.5999755859376,955.0,972.7000122070312,972.7000122070312,55.0,2.06
2008-07-15,983.5,986.2000122070312,976.0,977.7000122070312,977.7000122070312,12.0,2.16
2008-07-16,960.0,960.0,960.0,961.7999877929688,961.7999877929688,1.0,1.95
2008-07-17,957.2999877929688,976.2000122070312,957.2999877929688,970.0,970.0,37.0,2.03
2008-07-18,956.7999877929688,957.0,956.7999877929688,957.2999877929688,957.2999877929688,2.0,1.96
2008-07-21,964.5,964.5,963.5,963.0999755859376,963.0999755859376,2.0,1.98
2008-07-22,973.0,974.9000244140624,973.0,948.0,948.0,3.0,1.97
2008-07-23,935.0,935.0,924.2000122070312,922.4000244140624,922.4000244140624,203.0,2.04
2008-07-24,920.9000244140624,926.4000244140624,920.9000244140624,922.0,922.0,47.0,2.06
2008-07-25,928.4000244140624,929.2000122070312,921.2000122070312,926.5999755859376,926.5999755859376,35.0,2.13
2008-07-28,928.7999877929688,931.0999755859376,927.0,927.5999755859376,927.5999755859376,28.0,2.0
2008-07-29,916.2000122070312,917.7000122070312,916.2000122070312,916.4000244140624,916.4000244140624,147310.0,2.05
2008-07-30,917.9000244140624,919.0999755859376,893.2999877929688,902.9000244140624,902.9000244140624,93759.0,2.03
2008-07-31,906.9000244140624,925.5999755859376,906.0999755859376,913.9000244140624,913.9000244140624,8550.0,2.09
2008-08-01,904.9000244140624,916.0999755859376,902.0999755859376,909.0,909.0,1834.0,2.04
2008-08-04,912.7000122070312,915.2999877929688,894.4000244140625,900.0999755859375,900.0999755859375,2415.0,1.97
2008-08-05,895.4000244140625,895.4000244140625,873.2999877929688,878.5999755859375,878.5999755859375,790.0,1.97
2008-08-06,880.7000122070312,885.5999755859375,875.0,875.5999755859375,875.5999755859375,1330.0,2.01
2008-08-07,882.2000122070312,883.7999877929688,870.2999877929688,870.7000122070312,870.7000122070312,335.0,1.96
2008-08-08,868.7999877929688,869.5,851.0999755859375,857.7999877929688,857.7999877929688,303.0,2.01
2008-08-11,858.2999877929688,863.4000244140625,818.0,821.5,821.5,286.0,1.99
