,Open,High,Low,Close,Adj Close,Volume,DFF
Open,280569.9603171831,282069.6743415736,278930.12325551995,280482.49590179743,280482.49590179743,634892.4855574928,-275.0667381092094
High,282069.6743415736,283639.4701647943,280436.2400157949,282040.2438394141,282040.2438394141,624980.299087283,-277.795801907854
Low,278930.12325551995,280436.2400157949,277384.26322613034,278920.8204252069,278920.8204252069,640922.274475571,-271.54582508754856
Close,280482.49590179743,282040.2438394141,278920.8204252069,280522.12316082034,280522.12316082034,631055.2113642351,-274.76043837981535
Adj Close,280482.49590179743,282040.2438394141,278920.8204252069,280522.12316082034,280522.12316082034,631055.2113642351,-274.76043837981535
Volume,634892.4855574928,624980.299087283,640922.274475571,631055.2113642351,631055.2113642351,601552334.9164398,-1592.0396899040277
DFF,-275.0667381092094,-277.795801907854,-271.54582508754856,-274.76043837981535,-274.76043837981535,-1592.0396899040277,3.155866200951625
